floors,layout,per_room_occ,responders,best_ms
3,T,1,9,1050.0356165156936
3,T,2,1,2448.5654784514068
3,T,2,2,1966.144304582882
3,T,2,3,1477.6846443386612
3,T,2,5,1249.2015057586616
3,T,2,7,1155.310531884981
3,T,2,9,1090.0356165156936
3,T,3,1,2664.5654784514068
3,T,3,2,2134.1443045828823
3,T,3,3,1565.6846443386614
3,T,3,5,1305.2015057586616
3,T,3,7,1203.310531884981
3,T,3,9,1130.0356165156936
3,T,4,1,2880.565478451407
3,T,4,2,2302.1443045828823
3,T,4,3,1653.6846443386614
3,T,4,5,1361.2015057586616
3,T,4,7,1251.310531884981
3,T,4,9,1170.0356165156936
3,T,5,1,3096.565478451407
3,T,5,2,2470.1443045828823
3,T,5,3,1741.6846443386614
3,T,5,5,1417.2015057586616
3,T,5,7,1299.310531884981
3,T,5,9,1210.0356165156936
3,T,6,1,3312.565478451407
3,T,6,2,2638.144304582882
3,T,6,3,1829.6846443386617
3,T,6,5,1473.2015057586616
3,T,6,7,1347.310531884981
3,T,6,9,1250.0356165156936
3,T,7,1,3528.565478451407
3,T,7,2,2806.144304582883
3,T,7,3,1917.6846443386617
3,T,7,5,1529.2015057586616
3,T,7,7,1395.310531884981
3,T,7,9,1290.0356165156936
3,T,8,1,3744.565478451407
3,T,8,2,2974.144304582883
3,T,8,3,2005.6846443386617
3,T,8,5,1585.2015057586616
3,T,8,7,1443.310531884981
3,T,8,9,1330.0356165156936
3,T,9,1,3960.565478451407
3,T,9,2,3142.144304582883
3,T,9,3,2093.6846443386617
3,T,9,5,1641.2015057586616
3,T,9,7,1491.310531884981
3,T,9,9,1370.0356165156936
3,T,10,1,4176.565478451407
3,T,10,2,3310.144304582883
3,T,10,3,2181.6846443386617
3,T,10,5,1697.2015057586616
3,T,10,7,1539.310531884981
3,T,10,9,1410.0356165156936
4,BASELINE,1,1,2753.2442615698255
4,BASELINE,1,2,2234.5510610486986
4,BASELINE,1,3,1803.353677659887
4,BASELINE,1,5,1693.8811800094145
4,BASELINE,1,7,1632.0948569564928
4,BASELINE,1,9,1518.2868525102415
4,BASELINE,2,1,2945.2442615698255
4,BASELINE,2,2,2362.5510610486986
4,BASELINE,2,3,1867.353677659887
4,BASELINE,2,5,1741.8811800094145
4,BASELINE,2,7,1664.0948569564928
4,BASELINE,2,9,1550.2868525102415
4,BASELINE,3,1,3137.2442615698255
4,BASELINE,3,2,2490.5510610486986
4,BASELINE,3,3,1931.353677659887
4,BASELINE,3,5,1789.8811800094145
4,BASELINE,3,7,1696.0948569564928
4,BASELINE,3,9,1582.2868525102415
4,BASELINE,4,1,3329.2442615698255
4,BASELINE,4,2,2618.5510610486986
4,BASELINE,4,3,1995.353677659887
4,BASELINE,4,5,1837.8811800094145
4,BASELINE,4,7,1728.0948569564928
4,BASELINE,4,9,1614.2868525102415
4,BASELINE,5,1,3521.2442615698255
4,BASELINE,5,2,2746.5510610486986
4,BASELINE,5,3,2059.3536776598867
4,BASELINE,5,5,1885.8811800094145
4,BASELINE,5,7,1760.0948569564928
4,BASELINE,5,9,1646.2868525102415
4,BASELINE,6,1,3713.2442615698255
4,BASELINE,6,2,2874.5510610486986
4,BASELINE,6,3,2123.3536776598867
4,BASELINE,6,5,1933.8811800094145
4,BASELINE,6,7,1792.0948569564928
4,BASELINE,6,9,1678.2868525102415
4,BASELINE,7,1,3905.2442615698255
4,BASELINE,7,2,3002.5510610486986
4,BASELINE,7,3,2187.3536776598867
4,BASELINE,7,5,1981.8811800094145
4,BASELINE,7,7,1824.0948569564928
4,BASELINE,7,9,1710.2868525102415
4,BASELINE,8,1,4097.2442615698255
4,BASELINE,8,2,3130.5510610486986
4,BASELINE,8,3,2251.3536776598867
4,BASELINE,8,5,2029.8811800094145
4,BASELINE,8,7,1856.0948569564928
4,BASELINE,8,9,1742.2868525102415
4,BASELINE,9,1,4289.2442615698255
4,BASELINE,9,2,3258.5510610486986
4,BASELINE,9,3,2315.3536776598867
4,BASELINE,9,5,2077.881180009414
4,BASELINE,9,7,1888.0948569564928
4,BASELINE,9,9,1774.2868525102415
4,BASELINE,10,1,4481.244261569825
4,BASELINE,10,2,3386.5510610486986
4,BASELINE,10,3,2379.353677659886
4,BASELINE,10,5,2125.881180009414
4,BASELINE,10,7,1920.0948569564928
4,BASELINE,10,9,1806.2868525102415
4,L,1,1,3142.781295298891
4,L,1,2,2683.8212703301074
4,L,1,3,2123.796576716261
4,L,1,5,1883.756410479269
4,L,1,7,1716.5588820424125
4,L,1,9,1552.263764896578
4,L,2,1,3430.781295298891
4,L,2,2,2899.8212703301074
4,L,2,3,2235.796576716262
4,L,2,5,1955.756410479269
4,L,2,7,1772.5588820424125
4,L,2,9,1600.263764896578
4,L,3,1,3718.781295298891
4,L,3,2,3115.8212703301074
4,L,3,3,2347.796576716262
4,L,3,5,2027.756410479269
4,L,3,7,1828.5588820424125
4,L,3,9,1648.263764896578
4,L,4,1,4006.781295298892
4,L,4,2,3331.8212703301074
4,L,4,3,2459.796576716261
4,L,4,5,2099.756410479269
4,L,4,7,1884.5588820424125
4,L,4,9,1696.263764896578
4,L,5,1,4294.781295298892
4,L,5,2,3547.8212703301074
4,L,5,3,2571.796576716261
4,L,5,5,2171.756410479269
4,L,5,7,1940.5588820424125
4,L,5,9,1744.263764896578
4,L,6,1,4582.781295298892
4,L,6,2,3763.8212703301074
4,L,6,3,2683.796576716261
4,L,6,5,2243.756410479269
4,L,6,7,1996.5588820424125
4,L,6,9,1792.263764896578
4,L,7,1,4870.78129529889
4,L,7,2,3979.821270330108
4,L,7,3,2795.796576716261
4,L,7,5,2315.756410479269
4,L,7,7,2052.5588820424127
4,L,7,9,1840.263764896578
4,L,8,1,5158.78129529889
4,L,8,2,4195.821270330109
4,L,8,3,2907.796576716261
4,L,8,5,2387.7564104792687
4,L,8,7,2108.5588820424127
4,L,8,9,1888.263764896578
4,L,9,1,5446.78129529889
4,L,9,2,4411.821270330109
4,L,9,3,3019.7965767162605
4,L,9,5,2459.7564104792687
4,L,9,7,2164.5588820424127
4,L,9,9,1936.263764896578
4,L,10,1,5734.78129529889
4,L,10,2,4627.821270330109
4,L,10,3,3131.7965767162605
4,L,10,5,2531.7564104792687
4,L,10,7,2220.5588820424127
4,L,10,9,1984.263764896578
4,T,1,1,3351.062704175487
4,T,1,2,2760.4537970331075
4,T,1,3,2171.357585920505
4,T,1,5,1987.9168098355403
4,T,1,7,1836.0571295484096
4,T,1,9,1755.3058076968882
4,T,2,1,3639.062704175487
4,T,2,2,2984.4537970331075
4,T,2,3,2283.357585920505
4,T,2,5,2067.9168098355403
4,T,2,7,1892.0571295484096
4,T,2,9,1803.305807696888
4,T,3,1,3927.062704175487
4,T,3,2,3208.4537970331075
4,T,3,3,2395.357585920505
4,T,3,5,2147.9168098355403
4,T,3,7,1948.0571295484096
4,T,3,9,1851.305807696888
4,T,4,1,4215.062704175487
4,T,4,2,3432.4537970331075
4,T,4,3,2507.357585920505
4,T,4,5,2227.9168098355403
4,T,4,7,2004.0571295484096
4,T,4,9,1899.305807696888
4,T,5,1,4503.062704175487
4,T,5,2,3656.453797033107
4,T,5,3,2619.3575859205043
4,T,5,5,2307.9168098355403
4,T,5,7,2060.0571295484096
4,T,5,9,1947.305807696888
4,T,6,1,4791.062704175487
4,T,6,2,3880.453797033107
4,T,6,3,2731.3575859205043
4,T,6,5,2387.9168098355403
4,T,6,7,2116.0571295484096
4,T,6,9,1995.305807696888
4,T,7,1,5079.062704175487
