floors,layout,per_room_occ,responders,exit_combo_id,exit_combo,makespan_s,makespan_hms
1,BASELINE,9,6,2,LRLRLR,354.4264595482829,00:05:54
1,BASELINE,9,6,3,RLRLRL,354.4264595482829,00:05:54
1,BASELINE,9,7,0,LLLLRRR,354.4264595482829,00:05:54
1,BASELINE,9,7,1,RRRRLLL,249.43171677461777,00:04:09
1,BASELINE,9,7,2,LRLRLRL,354.4264595482829,00:05:54
1,BASELINE,9,7,3,RLRLRLR,249.43171677461777,00:04:09
1,BASELINE,9,8,0,LLLLRRRR,249.43171677461777,00:04:09
1,BASELINE,9,8,1,RRRRLLLL,249.43171677461777,00:04:09
1,BASELINE,9,8,2,LRLRLRLR,249.43171677461777,00:04:09
1,BASELINE,9,8,3,RLRLRLRL,249.43171677461777,00:04:09
1,BASELINE,9,9,0,LLLLLRRRR,249.43171677461777,00:04:09
1,BASELINE,9,9,1,RRRRRLLLL,249.43171677461777,00:04:09
1,BASELINE,9,9,2,LRLRLRLRL,249.43171677461777,00:04:09
1,BASELINE,9,9,3,RLRLRLRLR,249.43171677461777,00:04:09
1,BASELINE,9,10,0,LLLLLRRRRR,249.43171677461777,00:04:09
1,BASELINE,9,10,1,RRRRRLLLLL,249.43171677461777,00:04:09
1,BASELINE,9,10,2,LRLRLRLRLR,249.43171677461777,00:04:09
1,BASELINE,9,10,3,RLRLRLRLRL,249.43171677461777,00:04:09
1,BASELINE,10,1,0,L,855.6098348886976,00:14:16
1,BASELINE,10,1,1,R,855.6098348886976,00:14:16
1,BASELINE,10,2,0,LR,618.2249270037302,00:10:18
1,BASELINE,10,2,1,RL,618.2249270037302,00:10:18
1,BASELINE,10,3,0,LLR,618.2249270037302,00:10:18
1,BASELINE,10,3,1,RRL,382.4317167746178,00:06:22
1,BASELINE,10,3,2,LRL,618.2249270037302,00:10:18
1,BASELINE,10,3,3,RLR,382.4317167746178,00:06:22
1,BASELINE,10,4,0,LLRR,382.4317167746178,00:06:22
1,BASELINE,10,4,1,RRLL,382.4317167746178,00:06:22
1,BASELINE,10,4,2,LRLR,382.4317167746178,00:06:22
1,BASELINE,10,4,3,RLRL,382.4317167746178,00:06:22
1,BASELINE,10,5,0,LLLRR,382.4317167746178,00:06:22
1,BASELINE,10,5,1,RRRLL,370.4264595482829,00:06:10
1,BASELINE,10,5,2,LRLRL,382.4317167746178,00:06:22
1,BASELINE,10,5,3,RLRLR,370.4264595482829,00:06:10
1,BASELINE,10,6,0,LLLRRR,370.4264595482829,00:06:10
1,BASELINE,10,6,1,RRRLLL,370.4264595482829,00:06:10
1,BASELINE,10,6,2,LRLRLR,370.4264595482829,00:06:10
1,BASELINE,10,6,3,RLRLRL,370.4264595482829,00:06:10
1,BASELINE,10,7,0,LLLLRRR,370.4264595482829,00:06:10
1,BASELINE,10,7,1,RRRRLLL,257.43171677461777,00:04:17
1,BASELINE,10,7,2,LRLRLRL,370.4264595482829,00:06:10
1,BASELINE,10,7,3,RLRLRLR,257.43171677461777,00:04:17
